Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: AI safety publications,Publications: Large language model publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
Accenture,803,Ireland,https://www.accenture.com/,S&P 500,,Europe,Mature,Software & IT Services,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",crunchbase,https://www.crunchbase.com/organization/accenture,2024-05-16,249,28.93669985775249,19.2,24,4557,34,60,18,8,8,1297,494,49.10159656148961,40.1,248,1231,3,38,157,0,0,5,4,1,11,34,0,0,5,361,3,49,1,100,9,30,69,38,8,102,33,13,129,0,23,14227,170540,Dublin,Dublin,https://parat.eto.tech/company/803-accenture
Cognizant,806,United States,https://www.cognizant.com,S&P 500,,North America,Mature,Software & IT Services,"Cognizant is a professional services company, transforming clients’ business, operating and technology models for the digital era.",crunchbase,https://www.crunchbase.com/organization/cognizant-technology-solutions,2024-05-16,230,24.421296296296294,19.1,4,3437,55,15,25,9,2,1205,83,52.38095238095238,42.6,56,195,0,5,12,1,0,0,0,1,0,6,0,0,0,42,0,4,0,10,0,3,9,1,1,12,1,0,10,0,5,5554,135941,Teaneck,New Jersey,https://parat.eto.tech/company/806-cognizant
Amazon,23,United States,http://amazon.com,"S&P 500, Global Big Tech","Amazon Advertising, Amazon Web Services",North America,Mature,Retailers,"Amazon is a global tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",crunchbase,https://www.crunchbase.com/organization/amazon,2024-05-16,4026,21.854297566361947,33.7,1628,119400,786,1494,153,338,541,11942,1988,65.99558823918191,15.2,1777,13121,0,67,273,1,1,16,4,15,47,23,0,0,8,1116,10,79,3,456,385,104,330,362,5,140,23,182,129,4,286,15009,134139,Seattle,Washington,https://parat.eto.tech/company/23-amazon
IBM,115,United States,http://www.ibm.com/,"S&P 500, Global Big Tech",,North America,Mature,Software & IT Services,"IBM is an IT technology and consulting firm providing computer hardware, software, infrastructure, and hosting services.",crunchbase,https://www.crunchbase.com/organization/ibm,2024-05-16,7978,-11.62793320225171,26.7,2045,292454,1239,1665,153,479,375,29832,9135,37.34090123958867,19.8,6431,46235,56,234,1238,30,3,151,63,48,121,679,0,17,224,5941,76,638,98,1554,259,457,804,396,117,1776,371,303,831,4,481,6536,120809,Armonk,New York,https://parat.eto.tech/company/115-ibm
Microsoft,163,United States,http://www.microsoft.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",crunchbase,https://www.crunchbase.com/organization/microsoft,2024-05-16,10706,1.5539638464469594,40.3,4808,812643,2860,3105,279,680,1307,26593,4146,18.22958881445776,18.1,2099,22874,5,32,761,4,0,51,26,70,25,147,0,7,245,2933,15,335,8,983,26,163,473,68,27,484,200,68,596,0,385,5598,108641,Redmond,Washington,https://parat.eto.tech/company/163-microsoft
Alphabet (including Google),796,United States,https://abc.xyz/,"S&P 500, Global Big Tech","Deepmind, Google, Waymo",North America,Mature,Software & IT Services,"Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.",crunchbase,https://www.crunchbase.com/organization/alphabet,2024-05-16,11213,-3.276939330440776,38.4,5177,1023487,2862,2418,632,900,1146,29220,4387,24.756898204285672,22.6,2219,19443,46,31,258,6,0,24,38,57,156,320,2,10,26,1986,28,163,11,762,416,321,827,441,16,171,81,360,145,17,640,5924,89655,Mountain View,California,https://parat.eto.tech/company/796-alphabet-including-google
Oracle,617,United States,https://www.oracle.com,"S&P 500, Global Big Tech",Cerner Corporation,North America,Mature,Software & IT Services,Oracle is an integrated cloud application and platform services that sells a range of enterprise information technology solutions.,crunchbase,https://www.crunchbase.com/organization/oracle,2024-05-16,244,9.506172839506174,9.5,34,6329,35,70,6,14,18,2576,441,37.38432066018273,21.5,220,2050,0,11,86,0,0,5,16,0,2,68,0,0,3,300,2,38,0,88,5,35,35,14,2,61,23,10,76,0,24,1241,53785,Redwood Shores,California,https://parat.eto.tech/company/617-oracle
Deloitte Touche Tohmatsu,804,United Kingdom,https://www2.deloitte.com,,,Europe,Mature,Industrial & Commercial Services,"Deloitte is a business consulting company that offers audit, consulting, financial advisory, and tax services.",crunchbase,https://www.crunchbase.com/organization/deloitte,2024-05-16,164,61.43288084464555,6.5,4,2694,25,19,5,8,2,2517,7,-75.0,25.0,5,28,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6808,44949,London,London,https://parat.eto.tech/company/804-deloitte-touche-tohmatsu
Apple,27,United States,http://www.apple.com,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Five companies in the U.S. information technology industry, along with Amazon, Google, Microsoft, and Facebook. Its hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, the AirPods wireless earbuds, the AirPods Max headphones, and the HomePod smart speaker line. Apple's software includes iOS, iPadOS, macOS, watchOS, and tvOS operating systems, the iTunes media player, the Safari web browser, the Shazam music identifier, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro X, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store, Mac App Store, Apple Arcade, Apple Music, Apple TV+, Apple Fitness+, iMessage, and iCloud. Other services include Apple Store, Genius Bar, AppleCare, Apple Pay, Apple Pay Cash, and Apple Card.",wikipedia,https://en.wikipedia.org/wiki/Apple_Inc.,2021-03-18,583,23.47344267300188,26.0,206,26470,150,168,39,41,66,2240,787,56.491106491106486,3.4,462,23370,0,9,24,0,0,1,8,15,2,65,0,0,3,412,0,43,0,241,49,91,206,46,3,37,15,66,10,0,77,3733,37701,Cupertino,California,https://parat.eto.tech/company/27-apple
Cisco Systems,383,United States,http://www.cisco.com,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other technology services and products.",crunchbase,https://www.crunchbase.com/organization/cisco,2024-05-16,290,12.350427350427351,11.2,35,7011,54,28,16,17,3,2581,906,21.383502509231036,10.0,691,9065,0,3,44,0,0,1,9,0,0,3,0,0,10,361,0,85,1,679,8,356,38,19,15,112,12,16,34,1,30,1170,36015,San Jose,California,https://parat.eto.tech/company/383-cisco-systems
